,Review
209,packingnya pelit banget gak pake bubble wrap sama sekali kotaknya penyok sampe kebuka lem sampingnya
210,worst seller ever barang kurang ada video unboxing tapi tidak di respond sudah chat baik tidak mau di balas hati kalo order barang banyak
211,perih di kulit sy yg agak sensitif ga recommend sorry
212,kecewa yg di kirm hand sanitizer
213,bahan nya ga ori
214,barang ga saya terima tapi pngiriman sudah selesai kecewaa bangett
215,sorry kasih bintang jelek krn saya kecewa dgn servis pengiriman nya yg sangat lama packing mubazir padhaay barang nya kecil
216,pengemasan rusak
217,hati hati dalam unboxing pastikan memvideo karena jika tidak saat barang tidak lengkap penjual tidak mau bertanggung jawab sangat kecewa this is gonna be my last repurchase walaupun kualitas produk okay tapi tanggung jawab seperti ini   better move to others thanks
218,engga cocok dr yg cuma kusam doang coba pake ini malah dikeroyok jerawat
219,udah barang datang nya telat gk  bubble wrap barang nggak ada padahal stocknya ada aku yang harus chat malah dia minta refund lagi nggak ada kejelasan kecewa sama official nya
220,aku kecewa barang nya telat datang nggak  bubble wrap nggak ngasih solusi terus katanya ada stock ehh nggak ada info setelah barang datang padahal beli  toped tapi dapat suratnya itu gmn sich datang
221,gak bertanggung jawab
222,barang tidak terkirim karena rusak dan uang direfund
