,Review,Review_norm
148,bagus bgt cocok dikulit laki suka bgt lovependkdksnz,bagus banget cocok dikulit laki suka banget lovependkdksnz
149,baikkk,baik
150,packaging aman bubble wrap tebel dan dikardusin juga pengiriman cepat,packaging aman bubble wrap tebal dan dikardusin juga pengiriman cepat
151,barang sesuai pesanan expired aman,barang sesuai pesanan expired aman
152,ok sih tapi kenapa yg satu ga ada segel nya ya,ok sih tapi kenapa yang satu enggak ada segel nya ya
153,bahannya ringan mantul,bahannya ringan mantul
154,tekstur lembut nyaman dikulit cocok banget daahhh,tekstur lembut nyaman dikulit cocok banget dah
155,warnanya agak beda sama di etalase jadinya cream agak pink tapi saya suka sj buat nambah koleksi warna lain,warnanya agak beda sama di etalase jadinya cream agak pink tapi saya suka saja buat menambah koleksi warna lain
156,beli twin yg dikirim cuma difollow up admin katanya mau dikirim diluar toped kekuranganya maximal hari kerja ini sudah lebih dari hari kerja kemudia saya tanya cuma dijawab pasti dikirim kok kak really bad attitude review saya edit kekurangan telah dikirim seller terimakasih azarine masih amanah next qc nya diperketat shingga saya konsumen ga perlu repot lagi video unboxing krn sudah percaya pada azarine,beli twin yang dikirim cuma difollow up admin katanya mau dikirim diluar toped kekuranganya maximal hari kerja ini sudah lebih dari hari kerja kemudia saya tanya cuma dijawab pasti dikirim kok kak really bad attitude review saya edit kekurangan telah dikirim seller terima kasih azarine masih amanah next qc nya diperketat shingga saya konsumen enggak perlu repot lagi video unboxing karena sudah percaya pada azarine
157,parah bangetttt harganyaa eeeh besoknya malah turun lg pan gemesss tp lanjut beli lg sayaaang klo dilewatin,parah banget harganya eeeh besoknya malah turun lagi kapan gemas tapi lanjut beli lagi sayang kalo dilewatin
158,parah banget flash sale nyaa cucok lah ama azarine,parah banget flash sale nya cocok lah sama azarine
159,penjual amanah barang kurang dikirim ulang mksh ya moga berkah dagangannya laku,penjual amanah barang kurang dikirim ulang terima kasih ya moga berkah dagangannya laku
160,paketnya sudah sampai dengan aman baru pertama kali pakai nih smg cocok sama kulit wajahku,paketnya sudah sampai dengan aman baru pertama kali pakai nih semoga cocok sama kulit wajahku
161,harga lebih murah ditokped ketimbang di keranjang oranye sejauh ini si belum bikin putih putih banget tp entah kenapa masih cinta produk azarine smg pemakaian rutin bikin benar wajah putih dan glowing kaya klaimnya,harga lebih murah ditokped ketimbang di keranjang oranye sejauh ini sih belum bikin putih putih banget tapi entah kenapa masih cinta produk azarine semoga pemakaian rutin bikin benar wajah putih dan glowing kayak klaimnya
162,sebenarnya  terlalu suka produk eyebrownya karena isi sedikit bgt dan gampang patah tapi hasilnya bagus tolong diperbaiki kekurangan itu azarine kl produk yg lain bagus dan suka,sebenarnya  terlalu suka produk eyebrownya karena isi sedikit banget dan gampang patah tapi hasilnya bagus tolong diperbaiki kekurangan itu azarine kalo produk yang lain bagus dan suka
163,bagus dan suka lebih murah ditoko ini ketimbang di keranjang oranye,bagus dan suka lebih murah ditoko ini ketimbang di keranjang oranye
164,sesuai pesanan pengemasan dan pengiriman oke makasih,sesuai pesanan pengemasan dan pengiriman oke terima kasih
165,baru nyoba semoga cocok,baru mencoba semoga cocok
166,bagus sekali sesuai pesanan sudah order yang keberapa kali karna sebagus itu dan cocok untuk oily skin,bagus sekali sesuai pesanan sudah order yang keberapa kali karena sebagus itu dan cocok untuk oily skin
167, mleyot, mleyot
168,so far ini produk paling nyaman buat kulit wajah pasti beli lagii,so far ini produk paling nyaman buat kulit wajah pasti beli lagi
169,pengiriman capet warnanya cakep rada wangi,pengiriman capet warnanya cakep rada wangi
170,pengemasannya terlalu lama gak gercep,pengemasannya terlalu lama enggak gercep
171,tipe kulitku kombinasi best combination sama moisturizer yg ijo,tipe kulitku kombinasi best combination sama moisturizer yang ijo
172,baru akan coba moga cocok,baru akan coba moga cocok
173,baru akan dicoba moga sesuai deskripsi,baru akan dicoba moga sesuai deskripsi
174,pengemasan cepat dan aman,pengemasan cepat dan aman
175,nympe nya cepett ringan banget di kulit,nympe nya cepat ringan banget di kulit
176,warna lip tint nya saya suka terimakasih banyak,warna lip tint nya saya suka terima kasih banyak
177,good,good
178,tipe kulitku combi to oily serumnya cocok gampang nyerap dan lumayan ngaruh,tipe kulitku combi tapi oily serumnya cocok gampang nyerap dan lumayan ngaruh
